what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328894136566
java.vm.specification.version,sysinfo,,,"1.0",1328894136566
java.vm.vendor,sysinfo,,,"Apple Inc.",1328894136566
java.vm.version,sysinfo,,,"1.5.0_30-161",1328894136566
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1328894136620
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1328894137860
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1328894138616
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1328894142496
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1328894144219
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1328894144221
error,log,,,"DDMS files not found: /Applications/eclipse/Eclipse.app/Contents/MacOS/platform-tools/adb /Applications/eclipse/Eclipse.app/Contents/MacOS/tools/hprof-conv /Applications/eclipse/Eclipse.app/Contents/MacOS/tools/traceview ",1328894144458
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1328894144702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894473770
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328894474424
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894484452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894510370
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328894511243
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328894511487
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1328894518380
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328894519612
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1328894520700
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1328894541368
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1328894541477
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894545205
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894546333
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1328894600062
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1328894600682
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1328894600905
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894601926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894602332
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894602759
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894605584
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1328894606599
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328894611959
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328894650219
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328894660037
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894711292
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894733442
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328894734322
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894775835
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894777601
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328894778970
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328894801153
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328894806317
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894807586
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894907326
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1328894915966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328894918108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894929864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894931647
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328894933565
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328894952228
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328895624160
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328895626280
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328895629714
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328895632457
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328895634533
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328895637854
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328895646358
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328895656572
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328895686777
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1328895701564
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328895704626
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328895709271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328895710511
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328895712666
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328895723641
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328895751502
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328895810939
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328895823169
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328895824563
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328896062984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328896073797
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328896078162
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328896086033
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328896090601
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328896124692
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328906857283
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328906873396
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328906874349
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328906875291
started,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1328906880213
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1328906880214
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1328906880292
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328906880717
