what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1328222097046
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20110509,"org.eclipse.jdt.launching.macosx",1328222097046
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1328222097046
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1328222097048
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1328222097048
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1328222097048
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1328222097048
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1328222097048
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1328222097048
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1328222097048
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1328222097048
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1328222097049
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1328222097049
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1328222097051
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1328222097051
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1328222097051
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1328222097051
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1328222097051
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1328222097051
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1328222097051
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1328222097051
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1328222097051
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1328222097052
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1328222097052
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1328222097052
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1328222097052
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1328222097052
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1328222097053
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1328222097053
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1328222097053
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1328222097053
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1328222097053
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1328222097053
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1328222097054
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1328222097054
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1328222097209
os,sysinfo,,,"macosx",1328222097218
arch,sysinfo,,,"x86",1328222097218
ws,sysinfo,,,"cocoa",1328222097218
locale,sysinfo,,,"en_US",1328222097218
processors,sysinfo,,,"2",1328222097218
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1328222097218
java.runtime.version,sysinfo,,,"1.5.0_30-b03-389-9M3425",1328222097218
java.specification.name,sysinfo,,,"Java Platform API Specification",1328222097218
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328222097218
java.specification.version,sysinfo,,,"1.5",1328222097218
java.vendor,sysinfo,,,"Apple Inc.",1328222097218
java.version,sysinfo,,,"1.5.0_30",1328222097218
java.vm.info,sysinfo,,,"mixed mode",1328222097218
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1328222097218
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328222097218
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328222097218
java.vm.specification.version,sysinfo,,,"1.0",1328222097218
java.vm.vendor,sysinfo,,,"Apple Inc.",1328222097218
java.vm.version,sysinfo,,,"1.5.0_30-161",1328222097218
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1328222097222
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1328222097380
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1328222097417
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1328222097438
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1328222098361
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1328222099353
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1328222099588
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1328222099594
error,log,,,"DDMS files not found: /Applications/eclipse/Eclipse.app/Contents/MacOS/platform-tools/adb /Applications/eclipse/Eclipse.app/Contents/MacOS/tools/hprof-conv /Applications/eclipse/Eclipse.app/Contents/MacOS/tools/traceview ",1328222099618
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1328222099639
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328222186003
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328222186016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328222186348
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328279869275
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328279889251
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328279919859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328279931129
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328280044650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328280059213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328280342706
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1328280343231
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328280343301
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328282237454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328282260983
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328282471300
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328282567814
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328282568058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328282568130
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328286338339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328286345759
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1328286433962
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1328286434307
error,log,,,"Failed to load properties file for project 'Hello_World'",1328286435026
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328286437221
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1328286456919
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1328286460435
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328286474568
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328286477053
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328286477631
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328286478179
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328286478201
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328286481428
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328286481428
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1328286488914
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1328286497057
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.closeProject",1328286518092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328286529652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328286533463
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.closeUnrelatedProjects",1328286533543
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1328286536934
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1328286537362
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328286539086
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328286541253
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.closeUnrelatedProjects",1328286541363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328286564125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328286593727
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328286610666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328287337549
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1328287354572
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1328287354748
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328287362956
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1328287364528
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1328287364636
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328287377569
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1328287378294
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1328287378626
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1328287379820
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1328287379839
